Combination,Number of Equations
"[0, 0, 0, 0]",0
"[0, 0, 0, 1]",0
"[0, 0, 0, 2]",0
"[0, 0, 0, 3]",0
"[0, 0, 0, 4]",0
"[0, 0, 0, 5]",0
"[0, 0, 0, 6]",0
"[0, 0, 0, 7]",0
"[0, 0, 0, 8]",0
"[0, 0, 0, 9]",246
"[0, 0, 1, 1]",0
"[0, 0, 1, 2]",0
"[0, 0, 1, 3]",0
"[0, 0, 1, 4]",0
"[0, 0, 1, 5]",0
"[0, 0, 1, 6]",0
"[0, 0, 1, 7]",0
"[0, 0, 1, 8]",32
"[0, 0, 1, 9]",598
"[0, 0, 2, 2]",0
"[0, 0, 2, 3]",12
"[0, 0, 2, 4]",0
"[0, 0, 2, 5]",272
"[0, 0, 2, 6]",0
"[0, 0, 2, 7]",32
"[0, 0, 2, 8]",416
"[0, 0, 2, 9]",146
"[0, 0, 3, 3]",24
"[0, 0, 3, 4]",0
"[0, 0, 3, 5]",0
"[0, 0, 3, 6]",32
"[0, 0, 3, 7]",416
"[0, 0, 3, 8]",20
"[0, 0, 3, 9]",126
"[0, 0, 4, 4]",0
"[0, 0, 4, 5]",32
"[0, 0, 4, 6]",416
"[0, 0, 4, 7]",20
"[0, 0, 4, 8]",0
"[0, 0, 4, 9]",126
"[0, 0, 5, 5]",416
"[0, 0, 5, 6]",20
"[0, 0, 5, 7]",0
"[0, 0, 5, 8]",0
"[0, 0, 5, 9]",126
"[0, 0, 6, 6]",0
"[0, 0, 6, 7]",0
"[0, 0, 6, 8]",0
"[0, 0, 6, 9]",126
"[0, 0, 7, 7]",0
"[0, 0, 7, 8]",0
"[0, 0, 7, 9]",126
"[0, 0, 8, 8]",0
"[0, 0, 8, 9]",126
"[0, 0, 9, 9]",252
"[0, 1, 1, 1]",0
"[0, 1, 1, 2]",0
"[0, 1, 1, 3]",0
"[0, 1, 1, 4]",0
"[0, 1, 1, 5]",12
"[0, 1, 1, 6]",0
"[0, 1, 1, 7]",0
"[0, 1, 1, 8]",200
"[0, 1, 1, 9]",1014
"[0, 1, 2, 2]",0
"[0, 1, 2, 3]",47
"[0, 1, 2, 4]",12
"[0, 1, 2, 5]",356
"[0, 1, 2, 6]",8
"[0, 1, 2, 7]",184
"[0, 1, 2, 8]",510
"[0, 1, 2, 9]",389
"[0, 1, 3, 3]",94
"[0, 1, 3, 4]",0
"[0, 1, 3, 5]",8
"[0, 1, 3, 6]",184
"[0, 1, 3, 7]",494
"[0, 1, 3, 8]",146
"[0, 1, 3, 9]",258
"[0, 1, 4, 4]",0
"[0, 1, 4, 5]",184
"[0, 1, 4, 6]",494
"[0, 1, 4, 7]",130
"[0, 1, 4, 8]",16
"[0, 1, 4, 9]",259
"[0, 1, 5, 5]",494
"[0, 1, 5, 6]",130
"[0, 1, 5, 7]",0
"[0, 1, 5, 8]",16
"[0, 1, 5, 9]",258
"[0, 1, 6, 6]",0
"[0, 1, 6, 7]",0
"[0, 1, 6, 8]",16
"[0, 1, 6, 9]",259
"[0, 1, 7, 7]",0
"[0, 1, 7, 8]",16
"[0, 1, 7, 9]",258
"[0, 1, 8, 8]",32
"[0, 1, 8, 9]",275
"[0, 1, 9, 9]",516
"[0, 2, 2, 2]",0
"[0, 2, 2, 3]",116
"[0, 2, 2, 4]",164
"[0, 2, 2, 5]",216
"[0, 2, 2, 6]",424
"[0, 2, 2, 7]",48
"[0, 2, 2, 8]",288
"[0, 2, 2, 9]",150
"[0, 2, 3, 3]",24
"[0, 2, 3, 4]",134
"[0, 2, 3, 5]",282
"[0, 2, 3, 6]",22
"[0, 2, 3, 7]",166
"[0, 2, 3, 8]",168
"[0, 2, 3, 9]",180
"[0, 2, 4, 4]",168
"[0, 2, 4, 5]",204
"[0, 2, 4, 6]",192
"[0, 2, 4, 7]",72
"[0, 2, 4, 8]",305
"[0, 2, 4, 9]",62
"[0, 2, 5, 5]",360
"[0, 2, 5, 6]",118
"[0, 2, 5, 7]",244
"[0, 2, 5, 8]",252
"[0, 2, 5, 9]",162
"[0, 2, 6, 6]",120
"[0, 2, 6, 7]",57
"[0, 2, 6, 8]",231
"[0, 2, 6, 9]",54
"[0, 2, 7, 7]",32
"[0, 2, 7, 8]",160
"[0, 2, 7, 9]",70
"[0, 2, 8, 8]",288
"[0, 2, 8, 9]",244
"[0, 2, 9, 9]",108
"[0, 3, 3, 3]",36
"[0, 3, 3, 4]",180
"[0, 3, 3, 5]",12
"[0, 3, 3, 6]",44
"[0, 3, 3, 7]",300
"[0, 3, 3, 8]",32
"[0, 3, 3, 9]",142
"[0, 3, 4, 4]",0
"[0, 3, 4, 5]",16
"[0, 3, 4, 6]",160
"[0, 3, 4, 7]",154
"[0, 3, 4, 8]",10
"[0, 3, 4, 9]",164
"[0, 3, 5, 5]",252
"[0, 3, 5, 6]",98
"[0, 3, 5, 7]",144
"[0, 3, 5, 8]",130
"[0, 3, 5, 9]",44
"[0, 3, 6, 6]",32
"[0, 3, 6, 7]",280
"[0, 3, 6, 8]",113
"[0, 3, 6, 9]",60
"[0, 3, 7, 7]",288
"[0, 3, 7, 8]",154
"[0, 3, 7, 9]",229
"[0, 3, 8, 8]",20
