Combination,Number of Equations
"[0, 3, 8, 9]",54
"[0, 3, 9, 9]",88
"[0, 4, 4, 4]",0
"[0, 4, 4, 5]",32
"[0, 4, 4, 6]",334
"[0, 4, 4, 7]",20
"[0, 4, 4, 8]",0
"[0, 4, 4, 9]",130
"[0, 4, 5, 5]",176
"[0, 4, 5, 6]",178
"[0, 4, 5, 7]",26
"[0, 4, 5, 8]",88
"[0, 4, 5, 9]",180
"[0, 4, 6, 6]",288
"[0, 4, 6, 7]",154
"[0, 4, 6, 8]",264
"[0, 4, 6, 9]",188
"[0, 4, 7, 7]",140
"[0, 4, 7, 8]",10
"[0, 4, 7, 9]",54
"[0, 4, 8, 8]",82
"[0, 4, 8, 9]",44
"[0, 4, 9, 9]",88
"[0, 5, 5, 5]",432
"[0, 5, 5, 6]",164
"[0, 5, 5, 7]",160
"[0, 5, 5, 8]",144
"[0, 5, 5, 9]",274
"[0, 5, 6, 6]",20
"[0, 5, 6, 7]",10
"[0, 5, 6, 8]",18
"[0, 5, 6, 9]",174
"[0, 5, 7, 7]",0
"[0, 5, 7, 8]",120
"[0, 5, 7, 9]",52
"[0, 5, 8, 8]",0
"[0, 5, 8, 9]",44
